2025-04-02 19:50:41,917 - EPOCH ::: 1
2025-04-02 20:07:07,618 - Loss_pi: 3.6754737734794616, Loss_v: 0.07859209757298231
2025-04-02 20:07:12,009 - Loss_pi: 3.678120956188295, Loss_v: 0.07857717973429983
2025-04-02 20:07:16,449 - Loss_pi: 3.683133596465701, Loss_v: 0.08086351837430682
2025-04-02 20:07:20,844 - Loss_pi: 3.6780651225600134, Loss_v: 0.0818730804116227
2025-04-02 20:07:25,240 - Loss_pi: 3.6757972023703833, Loss_v: 0.08106849605048244
2025-04-02 20:07:29,676 - Loss_pi: 3.6806815306345624, Loss_v: 0.08270481849710147
2025-04-02 20:07:34,105 - Loss_pi: 3.683456918467646, Loss_v: 0.08188850829458755
2025-04-02 20:07:38,671 - Loss_pi: 3.677008476663143, Loss_v: 0.08180663251179329
2025-04-02 20:07:43,128 - Loss_pi: 3.672009681661924, Loss_v: 0.0813497994095087
2025-04-02 20:07:47,626 - Loss_pi: 3.672226973942348, Loss_v: 0.08105109525578362
2025-04-02 20:07:52,042 - Loss_pi: 3.6657047271728516, Loss_v: 0.08195707365870476
2025-04-02 20:07:56,462 - Loss_pi: 3.6619030073577283, Loss_v: 0.08187506333285686
2025-04-02 20:08:00,887 - Loss_pi: 3.667268936450665, Loss_v: 0.08300710268891774
2025-04-02 20:08:05,294 - Loss_pi: 3.670299912398716, Loss_v: 0.08379944821573654
2025-04-02 20:08:09,674 - Loss_pi: 3.669627216127184, Loss_v: 0.08371511915767635
2025-04-02 20:08:14,009 - Loss_pi: 3.6749742074446243, Loss_v: 0.08420416726307435
2025-04-02 20:08:18,419 - Loss_pi: 3.6677009889057706, Loss_v: 0.08519784853394542
2025-04-02 20:08:22,846 - Loss_pi: 3.6705017173499392, Loss_v: 0.08561870978589643
2025-04-02 20:08:27,241 - Loss_pi: 3.6705168855601342, Loss_v: 0.08631574362516403
2025-04-02 20:08:31,654 - Loss_pi: 3.6669308331053134, Loss_v: 0.08619074169862068
2025-04-02 20:08:36,136 - Loss_pi: 3.665672747294108, Loss_v: 0.08656596951186657
2025-04-02 20:08:40,579 - Loss_pi: 3.6673760179613457, Loss_v: 0.0866843545046009
2025-04-02 20:08:44,496 - EPOCH ::: 5
2025-04-02 20:08:45,939 - Loss_pi: 3.466604232788086, Loss_v: 0.15948912501335144
2025-04-02 20:08:50,321 - Loss_pi: 3.638922691345215, Loss_v: 0.11006766557693481
2025-04-02 20:08:54,723 - Loss_pi: 3.747237205505371, Loss_v: 0.09921221186717351
2025-04-02 20:08:59,126 - Loss_pi: 3.7668508291244507, Loss_v: 0.11726686544716358
2025-04-02 20:09:03,537 - Loss_pi: 3.7577980518341065, Loss_v: 0.10959984213113785
2025-04-02 20:09:07,941 - Loss_pi: 3.7379261255264282, Loss_v: 0.10442478582262993
2025-04-02 20:09:12,465 - Loss_pi: 3.729789767946516, Loss_v: 0.10957651798214231
2025-04-02 20:09:16,923 - Loss_pi: 3.725065141916275, Loss_v: 0.10569953825324774
2025-04-02 20:09:21,271 - Loss_pi: 3.7399466037750244, Loss_v: 0.09736270643770695
2025-04-02 20:09:25,645 - Loss_pi: 3.7488434076309205, Loss_v: 0.09566438738256693
2025-04-02 20:09:30,025 - Loss_pi: 3.7390145605260674, Loss_v: 0.08989414792846549
2025-04-02 20:09:34,388 - Loss_pi: 3.723293642203013, Loss_v: 0.09016857870543997
2025-04-02 20:09:38,798 - Loss_pi: 3.7312713586367092, Loss_v: 0.09766918492431824
2025-04-02 20:09:43,272 - Loss_pi: 3.713956390108381, Loss_v: 0.09725633809076888
2025-04-02 20:09:47,694 - Loss_pi: 3.7027884165445966, Loss_v: 0.0960675419618686
2025-04-02 20:09:52,145 - Loss_pi: 3.722423732280731, Loss_v: 0.09591386385727674
2025-04-02 20:09:56,594 - Loss_pi: 3.724471835529103, Loss_v: 0.09678217998760588
2025-04-02 20:10:01,088 - Loss_pi: 3.7211845053566828, Loss_v: 0.09918463861362802
2025-04-02 20:10:05,651 - Loss_pi: 3.710931476793791, Loss_v: 0.09557314207287211
2025-04-02 20:10:10,071 - Loss_pi: 3.7025255441665648, Loss_v: 0.0955274480395019
2025-04-02 20:10:14,485 - Loss_pi: 3.7142051401592435, Loss_v: 0.09248884190760907
2025-04-02 20:10:18,891 - Loss_pi: 3.7090095931833442, Loss_v: 0.0931867692111568
2025-04-02 20:10:23,301 - Loss_pi: 3.701214199480803, Loss_v: 0.09390484144830186
2025-04-02 20:10:27,694 - Loss_pi: 3.695672700802485, Loss_v: 0.09199718285041551
2025-04-02 20:10:32,111 - Loss_pi: 3.689845151901245, Loss_v: 0.09019924230873584
2025-04-02 20:10:36,568 - Loss_pi: 3.6913671493530273, Loss_v: 0.0898058028318561
2025-04-02 20:10:40,959 - Loss_pi: 3.707180800261321, Loss_v: 0.08997873334145104
2025-04-02 20:10:45,365 - Loss_pi: 3.69850423506328, Loss_v: 0.08841658975662929
2025-04-02 20:10:49,808 - Loss_pi: 3.6924583254189325, Loss_v: 0.08919947729285421
2025-04-02 20:10:54,217 - Loss_pi: 3.687795559565226, Loss_v: 0.08991639868666729
2025-04-02 20:10:58,596 - Loss_pi: 3.677967586824971, Loss_v: 0.08802144259454743
2025-04-02 20:11:02,990 - Loss_pi: 3.681401826441288, Loss_v: 0.08914245321648195
2025-04-02 20:11:07,378 - Loss_pi: 3.6777451905337246, Loss_v: 0.08879263998206818
2025-04-02 20:11:11,784 - Loss_pi: 3.6759183547076058, Loss_v: 0.08939793952466811
2025-04-02 20:11:16,141 - Loss_pi: 3.6695209298815046, Loss_v: 0.08771613974656378
2025-04-02 20:11:20,560 - Loss_pi: 3.6641811860932245, Loss_v: 0.08658559227155314
2025-04-02 20:11:24,953 - Loss_pi: 3.6604400518778206, Loss_v: 0.08552438413371911
2025-04-02 20:11:29,333 - Loss_pi: 3.663759714678714, Loss_v: 0.08571541848543443
2025-04-02 20:11:33,772 - Loss_pi: 3.668023408987583, Loss_v: 0.08432344490518937
